Main_Index,text
57,"A HUGE shout out to you Miss Jean!!!  Wishing you many Birthday surprises, love and happiness."
58,"Donna,"
119,"Hi my beautiful ladies (and gentlemen), I haven't been here in a long time. I have dealt with a lot the last couple of years. I see there are quite a few new people who have joined and I am sorry the numbers keep growing. I hope everyone is doing well -- will be catching up."
555,"Happy Birthday!  Hope you have a fantastic day - and your year ahead is filled with health, happiness & lots of love!"
580,Hello all - I am so glad I found this discussion board!  
642,"singing and doing my hap hap happy birthday dance in honor of your Birthday.  Do enjoy, and celebrate in GRAND fashion."
653,"I posted and asked a few days ago if anyone had feelings on whether it was better to go with IR ( interventional radiology)  and have the procedure done under twilight or  wait for the surgeon in an OR under general ... well I picked IR ... surgery wasn't unplesant and  not  too bad for sedation either. Now I did have a small issue of passing out after I was released and a trip via rapid resonse to the ER.... I was feeling fine and had eaten and had a drink  they released me and i took the wheelchair ride to wait for my sis to get the car.  As I waited my BP dropped to 85/58 and I got sweaty neuseous etc etc and about passed out so to the ER I went. They called it a vaso-vagal reaction.  after thye released me 4 hours later I went home with instructions to leave the Tegaderm on for 14 hours then shower  since the glue and steri strips below would stay on  til they came off on their opwn.. The MINUTE I took the Tegaderm off I KNEW I had a bad infection,and that I got it during surgery. Cellulitis .  So I went to a closer ( same  hospital group  ) interventional radiation  and they prescribed oral meds. Took them and within an HOUR OR TWO I  could see the infection making a red line along a vein !!!!( PHLEBITIS!!) .... so I went to the ER!!! They confirmed yes, bad scene---- skin  infection cellulitis and phelbitits too,  and started me on IV vancomycin..... and minutes later I had RED MAN SYNDROME... so they stopped the vanco and we waited and switched to CINDAMYCIN..... I have been admitted to the hospital and in since FRIDAY with IV meds... awaiting culture results..... so not sure I recommend IR ... stick with surgeon in OR :(    Now they are talking about removing the port and AGAIN a chemo delay ... I am getting worried :("
662,"Hello, ladies"
762,"Anyone been to one of these?  There's one in Sacramento Sept 8-9 and I'm torn. They're supposed to be really good, are free, but it's the whole weekend (you can attend one day only).  Would like some feedeback before I commit."
779, I needed to see my dentist last Friday.  I had pain and needed to get checked out.  She found an abscessed tooth and also noticed a lump on my tongue.  She refers me to an oral surgeon.  
